run_id,solver_hash,model,i_Dw,Dw,Omega,k,V,r,status,jump
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,4.6415888336e-03,9.954185801497e-03,4.662951773429e-01,9.963802e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,5.6234132519e-03,1.205984252645e-02,4.662924279128e-01,1.410351e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,6.8129206906e-03,1.461095801387e-02,4.662884311973e-01,2.002494e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,8.2540418527e-03,1.770179989732e-02,4.662826323062e-01,2.849939e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,1.0000000000e-02,2.144660613488e-02,4.662742411135e-01,4.061619e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,1.2115276586e-02,2.598383003655e-02,4.662621549341e-01,5.789124e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,1.4677992676e-02,3.148129607118e-02,4.662448662543e-01,8.238708e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,1.7782794100e-02,3.814246376860e-02,4.662203838816e-01,1.168153e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,2.1544346900e-02,4.621403732324e-02,4.661862098226e-01,1.645560e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,2.6101572157e-02,5.599519835860e-02,4.661394712752e-01,2.294779e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,3.1622776602e-02,6.784878151503e-02,4.660772956501e-01,3.153937e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,3.8311868496e-02,8.221473427920e-02,4.659975955827e-01,4.250112e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,4.6415888336e-02,9.962625327943e-02,4.659001699677e-01,5.584400e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,5.6234132519e-02,1.207290822948e-01,4.657877907308e-01,7.117548e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,6.8129206906e-02,1.463047030664e-01,4.656665539648e-01,8.765590e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,8.2540418527e-02,1.772985200166e-01,4.655448817005e-01,1.041357e-04,resolved_min,0
