run_id,solver_hash,model,bc_phason,Omega,k,V,r,status,delta_pen
20260906-125819,7cfda8cdc7345f93,A,free,5.6234132519e+00,1.809761409622e+01,3.107267743696e-01,2.359293e-07,resolved_min,3.537702e-01
20260906-125819,7cfda8cdc7345f93,A,free,6.3095734448e+00,2.030585741956e+01,3.107267678696e-01,2.419255e-07,resolved_min,3.152978e-01
20260906-125819,7cfda8cdc7345f93,A,free,7.0794578438e+00,2.278354725136e+01,3.107267611025e-01,2.473899e-07,resolved_min,2.810092e-01
20260906-125819,7cfda8cdc7345f93,A,free,7.9432823472e+00,2.556356104879e+01,3.107267540732e-01,2.522119e-07,resolved_min,2.504495e-01
20260906-125819,7cfda8cdc7345f93,A,free,8.9125093813e+00,2.868278792587e+01,3.107267467992e-01,2.562737e-07,resolved_min,2.232131e-01
20260906-125819,7cfda8cdc7345f93,A,free,1.0000000000e+01,3.218261815012e+01,3.107267393024e-01,2.594525e-07,resolved_min,1.989387e-01
20260906-125819,7cfda8cdc7345f93,A,free,1.1220184543e+01,3.610949236591e+01,3.107267316118e-01,2.616235e-07,resolved_min,1.773041e-01
20260906-125819,7cfda8cdc7345f93,A,free,1.2589254118e+01,4.051551783320e+01,3.107267237647e-01,2.626639e-07,resolved_min,1.580223e-01
20260906-125819,7cfda8cdc7345f93,A,free,1.4125375446e+01,4.545915985858e+01,3.107267158075e-01,2.624580e-07,resolved_min,1.408374e-01
20260906-125819,7cfda8cdc7345f93,A,free,1.5848931925e+01,5.100601759351e+01,3.107267077959e-01,2.609044e-07,resolved_min,1.255213e-01
20260906-125819,7cfda8cdc7345f93,A,free,1.7782794100e+01,5.722969449411e+01,3.107266997943e-01,2.579230e-07,resolved_min,1.118709e-01
20260906-125819,7cfda8cdc7345f93,A,free,1.9952623150e+01,6.421277499294e+01,3.107266918753e-01,2.534632e-07,resolved_min,9.970492e-02
20260906-125819,7cfda8cdc7345f93,A,free,2.2387211386e+01,7.204792034276e+01,3.107266841177e-01,2.475128e-07,resolved_min,8.886201e-02
20260906-125819,7cfda8cdc7345f93,A,free,2.5118864315e+01,8.083909817348e+01,3.107266766038e-01,2.401043e-07,resolved_min,7.919827e-02
20260906-125819,7cfda8cdc7345f93,A,free,2.8183829313e+01,9.070296207821e+01,3.107266694151e-01,2.313202e-07,resolved_min,7.058547e-02
20260906-125819,7cfda8cdc7345f93,A,free,3.1622776602e+01,1.017703995346e+02,3.107266626279e-01,2.212941e-07,resolved_min,6.290931e-02
20260906-125819,7cfda8cdc7345f93,A,free,3.5481338923e+01,1.141882687015e+02,3.107266563092e-01,2.102075e-07,resolved_min,5.606793e-02
20260906-125819,7cfda8cdc7345f93,A,free,3.9810717055e+01,1.281213471407e+02,3.107266505061e-01,1.982810e-07,resolved_min,4.997056e-02
20260906-125819,7cfda8cdc7345f93,A,free,4.4668359215e+01,1.437545183081e+02,3.107266452618e-01,1.857619e-07,resolved_min,4.453628e-02
20260906-125819,7cfda8cdc7345f93,A,free,5.0118723363e+01,1.612952248563e+02,3.107266405895e-01,1.729084e-07,resolved_min,3.969297e-02
20260906-125819,7cfda8cdc7345f93,A,free,5.6234132519e+01,1.809762212698e+02,3.107266364856e-01,1.599729e-07,resolved_min,3.537638e-02
20260906-125819,7cfda8cdc7345f93,A,free,6.3095734448e+01,2.030586623789e+02,3.107266329289e-01,1.471872e-07,resolved_min,3.152922e-02
20260906-125819,7cfda8cdc7345f93,A,free,7.0794578438e+01,2.278355687266e+02,3.107266298852e-01,1.347510e-07,resolved_min,2.810043e-02
20260906-125819,7cfda8cdc7345f93,A,free,7.9432823472e+01,2.556357147761e+02,3.107266273103e-01,1.228253e-07,resolved_min,2.504453e-02
20260906-125819,7cfda8cdc7345f93,A,free,8.9125093813e+01,2.868279915479e+02,3.107266251539e-01,1.115297e-07,resolved_min,2.232095e-02
20260906-125819,7cfda8cdc7345f93,A,free,1.0000000000e+02,3.218263015808e+02,3.107266233642e-01,1.009447e-07,resolved_min,1.989357e-02
20260906-125819,7cfda8cdc7345f93,A,free,1.1220184543e+02,3.610950511664e+02,3.107266218901e-01,9.111553e-08,resolved_min,1.773016e-02
20260906-125819,7cfda8cdc7345f93,A,free,1.2589254118e+02,4.051553127388e+02,3.107266206838e-01,8.205846e-08,resolved_min,1.580202e-02
20260906-125819,7cfda8cdc7345f93,A,free,1.4125375446e+02,4.545917391880e+02,3.107266197019e-01,7.376689e-08,resolved_min,1.408356e-02
20260906-125819,7cfda8cdc7345f93,A,free,1.5848931925e+02,5.100603218688e+02,3.107266188937e-01,6.621755e-08,resolved_min,1.255198e-02
20260906-125819,7cfda8cdc7345f93,A,free,1.7782794100e+02,5.722970951058e+02,3.107266182629e-01,5.937578e-08,resolved_min,1.118697e-02
20260906-125819,7cfda8cdc7345f93,A,free,1.9952623150e+02,6.421279031212e+02,3.107266177455e-01,5.319986e-08,resolved_min,9.970394e-03
20260906-125819,7cfda8cdc7345f93,A,free,2.2387211386e+02,7.204793582780e+02,3.107266173342e-01,4.764452e-08,resolved_min,8.886123e-03
20260906-125819,7cfda8cdc7345f93,A,free,2.5118864315e+02,8.083911367856e+02,3.107266170059e-01,4.266338e-08,resolved_min,7.919765e-03
20260906-125819,7cfda8cdc7345f93,A,free,2.8183829313e+02,9.070297745298e+02,3.107266167448e-01,3.821073e-08,resolved_min,7.058498e-03
20260906-125819,7cfda8cdc7345f93,A,free,3.1622776602e+02,1.017704146302e+03,3.107266165378e-01,3.424256e-08,resolved_min,6.290892e-03
20260906-125819,7cfda8cdc7345f93,A,free,3.5481338923e+02,1.141882833772e+03,3.107266163739e-01,3.071695e-08,resolved_min,5.606764e-03
20260906-125819,7cfda8cdc7345f93,A,free,3.9810717055e+02,1.281213612680e+03,3.107266162437e-01,2.759404e-08,resolved_min,4.997033e-03
20260906-125819,7cfda8cdc7345f93,A,free,4.4668359215e+02,1.437545317828e+03,3.107266161361e-01,2.483545e-08,resolved_min,4.453611e-03
20260906-125819,7cfda8cdc7345f93,A,free,5.0118723363e+02,1.612952375852e+03,3.107266160679e-01,2.240421e-08,resolved_min,3.969285e-03
20260906-125819,7cfda8cdc7345f93,A,free,5.6234132519e+02,1.809762332291e+03,3.107266159520e-01,2.026174e-08,resolved_min,3.537628e-03
20260906-125819,7cfda8cdc7345f93,A,free,6.3095734448e+02,2.030586735914e+03,3.107266157712e-01,1.837698e-08,resolved_min,3.152915e-03
20260906-125819,7cfda8cdc7345f93,A,free,7.0794578438e+02,2.278355790146e+03,3.107266158543e-01,1.670003e-08,resolved_min,2.810038e-03
20260906-125819,7cfda8cdc7345f93,A,free,7.9432823472e+02,2.556357246170e+03,3.107266153487e-01,1.529196e-08,resolved_min,2.504449e-03
20260906-125819,7cfda8cdc7345f93,A,free,8.9125093813e+02,2.868280003873e+03,3.107266155781e-01,1.388544e-08,resolved_min,2.232093e-03
20260906-125819,7cfda8cdc7345f93,A,free,1.0000000000e+03,3.218263094240e+03,3.107266157916e-01,1.264601e-08,resolved_min,1.989355e-03
20260906-125819,7cfda8cdc7345f93,A,clamped,1.0000000000e-03,3.478505374467e-03,2.874797915622e-01,4.752762e-05,resolved_min,7.079098e+02
20260906-125819,7cfda8cdc7345f93,A,clamped,1.1220184543e-03,4.869907407832e-03,2.303983136307e-01,4.480472e-05,resolved_min,3.015779e+02
20260906-125819,7cfda8cdc7345f93,A,clamped,1.2589254118e-03,6.817870196040e-03,1.846508331187e-01,4.148857e-05,resolved_min,1.811643e+02
20260906-125819,7cfda8cdc7345f93,A,clamped,1.4125375446e-03,4.913519440607e-03,2.874797915622e-01,6.715573e-05,resolved_min,5.011618e+02
20260906-125819,7cfda8cdc7345f93,A,clamped,1.5848931925e-03,6.878927052399e-03,2.303983136307e-01,6.330669e-05,resolved_min,2.135008e+02
20260906-125819,7cfda8cdc7345f93,A,clamped,1.7782794100e-03,9.630497626271e-03,1.846508331187e-01,5.862119e-05,resolved_min,1.282545e+02
20260906-125819,7cfda8cdc7345f93,A,clamped,1.9952623150e-03,6.940530686091e-03,2.874797915622e-01,9.489696e-05,resolved_min,3.547954e+02
20260906-125819,7cfda8cdc7345f93,A,clamped,2.2387211386e-03,9.716742728235e-03,2.303983136307e-01,8.945452e-05,resolved_min,1.511470e+02
