run_id,solver_hash,model,bc_phason,bc_thermal,Omega,k,V,r,status,n_ad,n_grazing,condB,jump,root_flags,max_root_res,k_comp,r_comp,P_w,delta_pen,delta_pen_weighted,rel_xtol,n_scan
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.1220184543e-01,3.610947566107e-01,3.107268753591e-01,1.144132e-08,resolved_min,5,0,8.740250e+07,0,0,2.088e-17,3.610947566622e-01,1.144122e-08,9.909505e-01,1.773075e+01,1.177091e+01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.2589254118e-01,4.051549819912e-01,3.107268743450e-01,1.353612e-08,resolved_min,5,0,7.387641e+07,0,0,2.050e-17,4.051549820527e-01,1.353603e-08,9.909505e-01,1.580254e+01,1.049081e+01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.4125375446e-01,4.545913682174e-01,3.107268732712e-01,1.601335e-08,resolved_min,5,0,6.244790e+07,0,0,3.714e-17,4.545913682896e-01,1.601326e-08,9.909504e-01,1.408403e+01,9.349925e+00,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.5848931925e-01,5.100599061726e-01,3.107268721343e-01,1.894205e-08,resolved_min,5,0,5.279260e+07,0,0,1.808e-17,5.100599062558e-01,1.894197e-08,9.909503e-01,1.255240e+01,8.333110e+00,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.7782794100e-01,5.722966297422e-01,3.107268709305e-01,2.240348e-08,resolved_min,5,0,4.463592e+07,0,0,4.047e-17,5.722966298367e-01,2.240341e-08,9.909503e-01,1.118734e+01,7.426873e+00,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.9952623150e-01,6.421273825394e-01,3.107268696560e-01,2.649319e-08,resolved_min,5,0,3.774555e+07,0,0,3.192e-17,6.421273826215e-01,2.649313e-08,9.909502e-01,9.970725e+00,6.619189e+00,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,2.2387211386e-01,7.204787763506e-01,3.107268683067e-01,3.132339e-08,resolved_min,5,0,3.192503e+07,0,0,6.966e-17,7.204787764105e-01,3.132334e-08,9.909501e-01,8.886417e+00,5.899340e+00,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,2.5118864315e-01,8.083904867151e-01,3.107268668780e-01,3.702565e-08,resolved_min,5,0,2.700831e+07,0,0,9.073e-17,8.083904867512e-01,3.702562e-08,9.909501e-01,7.920026e+00,5.257775e+00,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,2.8183829313e-01,9.070290487918e-01,3.107268653654e-01,4.375382e-08,resolved_min,5,0,2.285515e+07,0,0,4.152e-17,9.070290489184e-01,4.375379e-08,9.909500e-01,7.058729e+00,4.685980e+00,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,3.1622776602e-01,1.017703336577e+00,3.107268637640e-01,5.168686e-08,resolved_min,5,0,1.934728e+07,0,0,2.426e-17,1.017703336698e+00,5.168684e-08,9.909499e-01,6.291098e+00,4.176367e+00,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,3.5481338923e-01,1.141881930874e+00,3.107268620687e-01,6.103002e-08,resolved_min,5,0,1.638538e+07,0,0,3.071e-17,1.141881930965e+00,6.102999e-08,9.909498e-01,5.606945e+00,3.722175e+00,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,3.9810717055e-01,1.281212606474e+00,3.107268602743e-01,7.200607e-08,resolved_min,5,0,1.388772e+07,0,0,4.166e-17,1.281212606635e+00,7.200607e-08,9.909497e-01,4.997194e+00,3.317376e+00,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,4.4668359215e-01,1.437544197123e+00,3.107268583777e-01,8.475334e-08,resolved_min,5,0,1.179895e+07,0,0,1.355e-16,1.437544197124e+00,8.475334e-08,9.909496e-01,4.453753e+00,2.956598e+00,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,5.0118723363e-01,1.612951128901e+00,3.107268562865e-01,9.672391e-08,resolved_min,5,0,1.033871e+07,0,0,5.576e-17,1.612951128685e+00,9.672375e-08,9.909495e-01,3.969410e+00,2.635056e+00,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,5.6234132519e-01,1.809760944406e+00,3.107268542448e-01,1.026960e-07,resolved_min,5,0,9.737476e+06,0,0,5.528e-17,1.809760944583e+00,1.026960e-07,9.909494e-01,3.537740e+00,2.348481e+00,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,6.3095734448e-01,2.030585192239e+00,3.107268519892e-01,1.081157e-07,resolved_min,5,0,9.249350e+06,0,0,3.691e-17,2.030585192272e+00,1.081157e-07,9.909493e-01,3.153013e+00,2.093071e+00,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,7.0794578438e-01,2.278354076213e+00,3.107268496040e-01,1.136549e-07,resolved_min,5,0,8.798561e+06,0,0,8.724e-17,2.278354076461e+00,1.136549e-07,9.909491e-01,2.810125e+00,1.865437e+00,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,7.9432823472e-01,2.556355339711e+00,3.107268470799e-01,1.193773e-07,resolved_min,5,0,8.376805e+06,0,0,1.064e-16,2.556355339979e+00,1.193773e-07,9.909490e-01,2.504526e+00,1.662559e+00,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,8.9125093813e-01,2.868277891567e+00,3.107268444086e-01,1.252969e-07,resolved_min,5,0,7.981045e+06,0,0,6.490e-17,2.868277891617e+00,1.252969e-07,9.909489e-01,2.232160e+00,1.481743e+00,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.0000000000e+00,3.218260755681e+00,3.107268415820e-01,1.314163e-07,resolved_min,5,0,7.609404e+06,0,0,1.051e-16,3.218260755765e+00,1.314163e-07,9.909487e-01,1.989414e+00,1.320592e+00,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.1220184543e+00,3.610947993382e+00,3.107268385915e-01,1.377331e-07,resolved_min,5,0,7.260420e+06,0,0,6.072e-17,3.610947993502e+00,1.377331e-07,9.909485e-01,1.773066e+00,1.176965e+00,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.2589254118e+00,4.051550327343e+00,3.107268354284e-01,1.442409e-07,resolved_min,5,0,6.932846e+06,0,0,2.795e-17,4.051550327497e+00,1.442409e-07,9.909484e-01,1.580246e+00,1.048958e+00,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.4125375446e+00,4.545914284748e+00,3.107268320835e-01,1.509304e-07,resolved_min,5,0,6.625571e+06,0,0,1.768e-16,4.545914284934e+00,1.509304e-07,9.909482e-01,1.408395e+00,9.348723e-01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.5848931925e+00,5.100599777206e+00,3.107268285475e-01,1.577886e-07,resolved_min,5,0,6.337594e+06,0,0,1.547e-16,5.100599777424e+00,1.577886e-07,9.909480e-01,1.255233e+00,8.331933e-01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.7782794100e+00,5.722967146857e+00,3.107268248107e-01,1.647989e-07,resolved_min,5,0,6.068000e+06,0,0,7.160e-17,5.722967147190e+00,1.647989e-07,9.909478e-01,1.118727e+00,7.425720e-01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.9952623150e+00,6.421274833745e+00,3.107268208617e-01,1.719407e-07,resolved_min,5,0,5.815960e+06,0,0,4.173e-17,6.421274834225e+00,1.719407e-07,9.909476e-01,9.970661e-01,6.618059e-01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,2.2387211386e+00,7.204788960282e+00,3.107268166923e-01,1.791884e-07,resolved_min,5,0,5.580720e+06,0,0,7.908e-17,7.204788960164e+00,1.791884e-07,9.909474e-01,8.886356e-01,5.898233e-01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,2.5118864315e+00,8.083906287229e+00,3.107268122934e-01,1.865113e-07,resolved_min,5,0,5.361604e+06,0,0,2.209e-17,8.083906287102e+00,1.865113e-07,9.909472e-01,7.919969e-01,5.256689e-01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,2.8183829313e+00,9.070292172501e+00,3.107268076556e-01,1.938732e-07,resolved_min,5,0,5.158010e+06,0,0,7.418e-17,9.070292172366e+00,1.938732e-07,9.909469e-01,7.058675e-01,4.684915e-01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,3.1622776602e+00,1.017703536348e+01,3.107268027696e-01,2.012310e-07,resolved_min,5,0,4.969412e+06,0,0,1.489e-17,1.017703536334e+01,2.012310e-07,9.909467e-01,6.291047e-01,4.175322e-01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,3.5481338923e+00,1.141882167689e+01,3.107267976273e-01,2.085349e-07,resolved_min,5,0,4.795361e+06,0,0,7.833e-17,1.141882167674e+01,2.085349e-07,9.909464e-01,5.606898e-01,3.721150e-01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,3.9810717055e+00,1.281212887076e+01,3.107267922211e-01,2.157270e-07,resolved_min,5,0,4.635488e+06,0,0,3.357e-17,1.281212887061e+01,2.157270e-07,9.909461e-01,4.997149e-01,3.316370e-01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,4.4668359215e+00,1.437544529450e+01,3.107267865448e-01,2.227415e-07,resolved_min,5,0,4.489508e+06,0,0,1.106e-16,1.437544529432e+01,2.227415e-07,9.909458e-01,4.453711e-01,2.955611e-01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,5.0118723363e+00,1.612951521807e+01,3.107267805952e-01,2.295036e-07,resolved_min,5,0,4.357230e+06,0,0,2.669e-17,1.612951521791e+01,2.295036e-07,9.909455e-01,3.969371e-01,2.634087e-01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,5.6234132519e+00,1.809761409622e+01,3.107267743696e-01,2.359293e-07,resolved_min,5,0,4.238557e+06,0,0,1.171e-16,1.809761409605e+01,2.359293e-07,9.909452e-01,3.537702e-01,2.347530e-01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,6.3095734448e+00,2.030585741956e+01,3.107267678696e-01,2.419255e-07,resolved_min,5,0,4.133504e+06,0,0,5.833e-17,2.030585741939e+01,2.419255e-07,9.909449e-01,3.152978e-01,2.092137e-01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,7.0794578438e+00,2.278354725136e+01,3.107267611025e-01,2.473899e-07,resolved_min,5,0,4.042202e+06,0,0,4.148e-17,2.278354725134e+01,2.473899e-07,9.909445e-01,2.810092e-01,1.864520e-01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,7.9432823472e+00,2.556356104879e+01,3.107267540732e-01,2.522119e-07,resolved_min,5,0,3.964920e+06,0,0,8.856e-17,2.556356104879e+01,2.522119e-07,9.909442e-01,2.504495e-01,1.661658e-01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,8.9125093813e+00,2.868278792587e+01,3.107267467992e-01,2.562737e-07,resolved_min,5,0,3.902078e+06,0,0,1.171e-16,2.868278792594e+01,2.562737e-07,9.909438e-01,2.232131e-01,1.480859e-01,1e-15,160
