Omega,Dw,model,V,Delta_BC_at_Dw
1.0000000000e+00,1.000000e+00,C,4.665354218403e-01,9.935595e-04
1.2115276586e+00,1.000000e+00,A,3.107268364974e-01,1.332755e-03
1.2115276586e+00,1.000000e+00,B,4.659913910701e-01,1.332755e-03
1.2115276586e+00,1.000000e+00,C,4.666132723881e-01,1.332755e-03
1.4677992676e+00,1.000000e+00,A,3.107268309186e-01,1.737246e-03
1.4677992676e+00,1.000000e+00,B,4.658931968716e-01,1.737246e-03
1.4677992676e+00,1.000000e+00,C,4.667039763243e-01,1.737246e-03
1.7782794100e+00,1.000000e+00,A,3.107268248008e-01,2.190958e-03
1.7782794100e+00,1.000000e+00,B,4.657800742881e-01,2.190958e-03
1.7782794100e+00,1.000000e+00,C,4.668028196079e-01,2.190958e-03
2.1544346900e+00,1.000000e+00,A,3.107268180991e-01,2.666284e-03
2.1544346900e+00,1.000000e+00,B,4.656581649789e-01,2.666284e-03
2.1544346900e+00,1.000000e+00,C,4.669030611220e-01,2.666284e-03
2.6101572157e+00,1.000000e+00,A,3.107268107685e-01,3.129943e-03
2.6101572157e+00,1.000000e+00,B,4.655359099564e-01,3.129943e-03
2.6101572157e+00,1.000000e+00,C,4.669975856044e-01,3.129943e-03
3.1622776602e+00,1.000000e+00,A,3.107268027651e-01,3.551734e-03
3.1622776602e+00,1.000000e+00,B,4.654218430906e-01,3.551734e-03
3.1622776602e+00,1.000000e+00,C,4.670807898875e-01,3.551734e-03
3.8311868496e+00,1.000000e+00,A,3.107267940494e-01,3.911699e-03
3.8311868496e+00,1.000000e+00,B,4.653223300013e-01,3.911699e-03
3.8311868496e+00,1.000000e+00,C,4.671496787944e-01,3.911699e-03
4.6415888336e+00,1.000000e+00,A,3.107267845957e-01,4.202465e-03
4.6415888336e+00,1.000000e+00,B,4.652404214987e-01,4.202465e-03
4.6415888336e+00,1.000000e+00,C,4.672038290626e-01,4.202465e-03
5.6234132519e+00,1.000000e+00,A,3.107267743725e-01,4.427033e-03
5.6234132519e+00,1.000000e+00,B,4.651761017420e-01,4.427033e-03
5.6234132519e+00,1.000000e+00,C,4.672446090591e-01,4.427033e-03
6.8129206906e+00,1.000000e+00,A,3.107267633885e-01,4.594504e-03
6.8129206906e+00,1.000000e+00,B,4.651273561010e-01,4.594504e-03
6.8129206906e+00,1.000000e+00,C,4.672742497226e-01,4.594504e-03
8.2540418527e+00,1.000000e+00,A,3.107267516748e-01,4.716135e-03
8.2540418527e+00,1.000000e+00,B,4.650913118686e-01,4.716135e-03
8.2540418527e+00,1.000000e+00,C,4.672951389868e-01,4.716135e-03
1.0000000000e+01,1.000000e+00,A,3.107267393024e-01,4.802766e-03
1.0000000000e+01,1.000000e+00,B,4.650650485143e-01,4.802766e-03
1.0000000000e+01,1.000000e+00,C,4.673094264461e-01,4.802766e-03
1.2115276586e+01,1.000000e+00,A,3.107267263951e-01,4.863600e-03
1.2115276586e+01,1.000000e+00,B,4.650460184104e-01,4.863600e-03
1.2115276586e+01,1.000000e+00,C,4.673188702769e-01,4.863600e-03
1.4677992676e+01,1.000000e+00,A,3.107267131400e-01,4.905885e-03
1.4677992676e+01,1.000000e+00,B,4.650321846919e-01,4.905885e-03
