run_id,solver_hash,model,Omega,root_index,Re_p,Im_p,admissible,grazing,root_residual
20260906-124736,7cfda8cdc7345f93,C,1.000000e+01,1,-7.597931899383e+02,-7.593924456068e+02,0,0,NaN
20260906-124736,7cfda8cdc7345f93,C,1.000000e+01,2,4.813203400551e+02,4.813150893771e+02,1,0,2.430e-17
20260906-124736,7cfda8cdc7345f93,C,1.000000e+01,3,-4.813203400551e+02,-4.813150893771e+02,0,0,NaN
20260906-124736,7cfda8cdc7345f93,C,1.000000e+01,4,4.253201618704e+01,4.518508237322e+01,1,0,8.855e-21
20260906-124736,7cfda8cdc7345f93,C,1.000000e+01,5,-4.253201618704e+01,-4.518508237322e+01,0,0,NaN
20260906-124736,7cfda8cdc7345f93,C,1.000000e+01,6,1.784295583510e-04,1.732714770829e+01,1,0,2.005e-17
20260906-124736,7cfda8cdc7345f93,C,1.000000e+01,7,-1.784295583510e-04,-1.732714770829e+01,0,0,NaN
20260906-124736,7cfda8cdc7345f93,C,1.000000e+01,8,2.087545626502e-02,2.088647259890e-02,1,0,1.763e-19
20260906-124736,7cfda8cdc7345f93,C,1.000000e+01,9,-2.087545626507e-02,-2.088647259885e-02,0,0,NaN
20260906-124736,7cfda8cdc7345f93,C,1.000000e+03,0,7.798844672719e+03,7.398235062165e+03,1,0,1.226e-17
20260906-124736,7cfda8cdc7345f93,C,1.000000e+03,1,-7.798844672719e+03,-7.398235062165e+03,0,0,NaN
20260906-124736,7cfda8cdc7345f93,C,1.000000e+03,2,4.815792523718e+03,4.810540338767e+03,1,0,3.256e-17
20260906-124736,7cfda8cdc7345f93,C,1.000000e+03,3,-4.815792523718e+03,-4.810540338767e+03,0,0,NaN
20260906-124736,7cfda8cdc7345f93,C,1.000000e+03,4,4.796017849012e-01,1.733459454452e+03,1,0,1.070e-17
20260906-124736,7cfda8cdc7345f93,C,1.000000e+03,5,1.251537409839e+02,1.529800497285e+03,1,0,5.939e-20
20260906-124736,7cfda8cdc7345f93,C,1.000000e+03,6,-4.796017849012e-01,-1.733459454452e+03,0,0,NaN
20260906-124736,7cfda8cdc7345f93,C,1.000000e+03,7,-1.251537409839e+02,-1.529800497285e+03,0,0,NaN
20260906-124736,7cfda8cdc7345f93,C,1.000000e+03,8,-2.030942276454e+01,-2.140916478083e+01,0,0,NaN
20260906-124736,7cfda8cdc7345f93,C,1.000000e+03,9,2.030942276454e+01,2.140916478083e+01,1,0,2.334e-17
