# V3 model-limit raw data: V*(Omega) per configuration (production route, continuation, bc free/isothermal)
Omega,V_A,r_A,status_A,V_B,r_B,status_B,V_C,r_C,status_C,V_C_Dw0,r_C_Dw0,status_C_Dw0,V_C_Dw14,r_C_Dw14,status_C_Dw14,V_C_rhow0,r_C_rhow0,status_C_rhow0
5.0118723363e-02,3.107268810436e-01,3.529041e-09,resolved_min,4.663002193570e-01,9.613568e-09,resolved_min,4.663002193540e-01,9.613568e-09,resolved_min,3.107154516763e-01,1.130788e-04,resolved_min,3.107268809019e-01,3.642125e-09,resolved_min,4.663002197171e-01,9.613570e-09,resolved_min
5.6234132519e-02,3.107268803641e-01,4.173445e-09,resolved_min,4.663001496337e-01,1.077092e-08,resolved_min,4.663001499934e-01,1.077092e-08,resolved_min,3.107177916899e-01,1.127901e-04,resolved_min,3.107268802186e-01,4.286223e-09,resolved_min,4.663001499796e-01,1.077091e-08,resolved_min
6.3095734448e-02,3.107268796445e-01,4.936333e-09,resolved_min,4.663000754125e-01,1.206654e-08,resolved_min,4.663000754118e-01,1.206654e-08,resolved_min,3.107196538770e-01,1.125282e-04,resolved_min,3.107268794956e-01,5.048843e-09,resolved_min,4.663000759973e-01,1.206654e-08,resolved_min
7.0794578438e-02,3.107268788826e-01,5.839415e-09,resolved_min,4.662999977941e-01,1.351676e-08,resolved_min,4.662999977978e-01,1.351676e-08,resolved_min,3.107211351745e-01,1.122910e-04,resolved_min,3.107268787305e-01,5.951691e-09,resolved_min,4.662999977833e-01,1.351676e-08,resolved_min
7.9432823472e-02,3.107268780758e-01,6.908339e-09,resolved_min,4.662999149372e-01,1.513977e-08,resolved_min,4.662999149591e-01,1.513977e-08,resolved_min,3.107223130784e-01,1.120765e-04,resolved_min,3.107268779209e-01,7.020413e-09,resolved_min,4.662999149378e-01,1.513978e-08,resolved_min
8.9125093813e-02,3.107268772215e-01,8.173392e-09,resolved_min,4.662998272146e-01,1.695590e-08,resolved_min,4.662998272445e-01,1.695590e-08,resolved_min,3.107232494274e-01,1.118827e-04,resolved_min,3.107268770681e-01,8.285283e-09,resolved_min,4.662998272262e-01,1.695590e-08,resolved_min
1.0000000000e-01,3.107268763169e-01,9.670325e-09,resolved_min,4.662997343313e-01,1.898778e-08,resolved_min,4.662997343333e-01,1.898777e-08,resolved_min,3.107239935588e-01,1.117077e-04,resolved_min,3.107268761744e-01,9.782030e-09,resolved_min,4.662997343299e-01,1.898777e-08,resolved_min
1.1220184543e-01,3.107268753591e-01,1.144132e-08,resolved_min,4.662996358879e-01,2.126062e-08,resolved_min,4.662996359022e-01,2.126062e-08,resolved_min,3.107245847698e-01,1.115498e-04,resolved_min,3.107268752275e-01,1.155286e-08,resolved_min,4.662996358879e-01,2.126062e-08,resolved_min
1.2589254118e-01,3.107268743450e-01,1.353612e-08,resolved_min,4.662995320082e-01,2.380256e-08,resolved_min,4.662995320091e-01,2.380256e-08,resolved_min,3.107250543863e-01,1.114072e-04,resolved_min,3.107268742241e-01,1.364751e-08,resolved_min,4.662995312747e-01,2.380256e-08,resolved_min
1.4125375446e-01,3.107268732712e-01,1.601335e-08,resolved_min,4.662994212778e-01,2.664486e-08,resolved_min,4.662994207075e-01,2.664487e-08,resolved_min,3.107254272934e-01,1.112784e-04,resolved_min,3.107268731610e-01,1.612460e-08,resolved_min,4.662994212759e-01,2.664486e-08,resolved_min
