case_id,case_name,Omega,omega_rad_s,branch_id,kr_a,ki_signed,alpha_a,is_forward_decaying,eigval_real,eigval_imag,cond_P_equil,cond_Tcell
C1,Conservative Baseline (beta -> 0),0.08571428571428572,46595.07422474574,8,3.1043061339352795,-42.802302065510766,42.802302065510766,False,-3.877052066603211e+18,-1.4462880936233875e+17,13.306779499063337,1.2386425294417722e+16
C1,Conservative Baseline (beta -> 0),0.12142857142857143,66009.68848505647,0,1.3213504539810178e-17,-3.2271040150744352,3.2271040150744352,False,25.20655337000639,-3.3306690738754696e-16,9.437199154434941,1.7835641822499406e+16
C1,Conservative Baseline (beta -> 0),0.12142857142857143,66009.68848505647,1,0.2758845268143272,1.044037738965484e-15,1.044037738965484e-15,True,0.9621846306176844,-0.2723981215117095,9.437199154434941,1.7835641822499406e+16
C1,Conservative Baseline (beta -> 0),0.12142857142857143,66009.68848505647,2,0.27588452681432685,9.05995499386778e-16,9.05995499386778e-16,True,0.9621846306176847,0.2723981215117092,9.437199154434941,1.7835641822499406e+16
C1,Conservative Baseline (beta -> 0),0.12142857142857143,66009.68848505647,3,2.3330459598831078e-17,3.227104015074433,3.227104015074433,True,0.039672222747831734,9.255711900141155e-19,9.437199154434941,1.7835641822499406e+16
C1,Conservative Baseline (beta -> 0),0.12142857142857143,66009.68848505647,4,1.851390992521917e-17,-3.049362361514113,3.049362361514113,False,21.101884757950163,-3.9067839366104466e-16,9.437199154434941,1.7835641822499406e+16
C1,Conservative Baseline (beta -> 0),0.12142857142857143,66009.68848505647,7,1.6489643614751814,-47.79325471726125,47.79325471726125,False,-4.4558814183613235e+19,-5.6887732094386785e+20,9.437199154434941,1.7835641822499406e+16
C1,Conservative Baseline (beta -> 0),0.12142857142857143,66009.68848505647,6,1.8032390216588379,-87.19229789050746,87.19229789050746,False,-1.6964141226616741e+37,-7.166288062110326e+37,9.437199154434941,1.7835641822499406e+16
C1,Conservative Baseline (beta -> 0),0.12142857142857143,66009.68848505647,5,1.312243327474694,-49.101988347039665,49.101988347039665,False,5.4003586367970057e+20,-2.0419339728048072e+21,9.437199154434941,1.7835641822499406e+16
C1,Conservative Baseline (beta -> 0),0.12142857142857143,66009.68848505647,8,2.3778224003306208,-49.13130517171015,49.13130517171015,False,-1.5708413600689076e+21,1.5043216388453903e+21,9.437199154434941,1.7835641822499406e+16
C1,Conservative Baseline (beta -> 0),0.12142857142857143,66009.68848505647,9,0.1355554180736808,-43.85379028744373,43.85379028744373,False,1.1001621837102332e+19,-1.5005316182601147e+18,9.437199154434941,1.7835641822499406e+16
C1,Conservative Baseline (beta -> 0),0.15714285714285714,85424.3027453672,0,5.4787143357337084e-17,-3.232004192362872,3.232004192362872,False,25.330373071834828,-1.3877787807814457e-15,7.334963343582745,1.2391062702580982e+16
C1,Conservative Baseline (beta -> 0),0.15714285714285714,85424.3027453672,1,0.356522648270785,1.3224445871034203e-15,1.3224445871034203e-15,True,0.9371161442086131,-0.3490176675522017,7.334963343582745,1.2391062702580982e+16
C1,Conservative Baseline (beta -> 0),0.15714285714285714,85424.3027453672,2,0.356522648270785,1.920146037231082e-15,1.920146037231082e-15,True,0.9371161442086126,0.3490176675522015,7.334963343582745,1.2391062702580982e+16
C1,Conservative Baseline (beta -> 0),0.15714285714285714,85424.3027453672,3,7.318879340906222e-17,3.2320041923628846,3.2320041923628846,True,0.03947829734540705,2.8893689485545265e-18,7.334963343582745,1.2391062702580982e+16
C1,Conservative Baseline (beta -> 0),0.15714285714285714,85424.3027453672,4,1.1805211863728019e-18,-3.1817821291973516,3.1817821291973516,False,24.089646182423415,-2.843833769057553e-17,7.334963343582745,1.2391062702580982e+16
C1,Conservative Baseline (beta -> 0),0.15714285714285714,85424.3027453672,7,1.4004588606650106,-49.77496375434911,49.77496375434911,False,7.017785309945701e+20,-4.0800068711284065e+21,7.334963343582745,1.2391062702580982e+16
C1,Conservative Baseline (beta -> 0),0.15714285714285714,85424.3027453672,6,1.0807083430734081,-90.76012848066192,90.76012848066192,False,1.228486588235329e+39,-2.302687723214776e+39,7.334963343582745,1.2391062702580982e+16
C1,Conservative Baseline (beta -> 0),0.15714285714285714,85424.3027453672,5,0.3661346566155161,-52.17148888832366,52.17148888832366,False,4.246249761268465e+22,1.6281096487046572e+22,7.334963343582745,1.2391062702580982e+16
C1,Conservative Baseline (beta -> 0),0.15714285714285714,85424.3027453672,8,2.811059388744288,-50.72061858549223,50.72061858549223,False,-1.0081286333267752e+22,-3.459099088834316e+21,7.334963343582745,1.2391062702580982e+16
C1,Conservative Baseline (beta -> 0),0.15714285714285714,85424.3027453672,9,0.6679153393219075,-50.73786021514924,50.73786021514924,False,8.51345249605799e+21,6.715978596435502e+21,7.334963343582745,1.2391062702580982e+16
