family_id,case_id,case_name,Omega,omega_rad_s,branch_id,kr_a,kr_a_over_pi,ki_signed,alpha_a,is_pass_band,eigval_real,eigval_imag,cond_P_equil,cond_Tcell,solver_status
S5,S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),0.08535353535353535,46427.71699713508,1,4.585171015024786e-09,1.4595052639257558e-09,-3.1492662889886556,3.1492662889886556,False,23.318948933135687,1.0692136874905692e-07,2.016126177161642e+16,8.753111686375864e+16,CONVERGED
S5,S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),0.08535353535353535,46427.71699713508,2,0.663271456288649,0.21112586176019696,-0.39194059807443327,0.39194059807443327,False,1.1660953368945222,0.9111405513465031,2.016126177161642e+16,8.753111686375864e+16,CONVERGED
S5,S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),0.08535353535353535,46427.71699713508,3,0.4640509522698308,0.14771200580048952,5.58845324228767e-07,5.58845324228767e-07,True,0.8942462379104799,-0.4475740701749037,2.016126177161642e+16,8.753111686375864e+16,CONVERGED
S5,S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),0.08535353535353535,46427.71699713508,4,0.46405208505978945,0.14771236637873233,4.917730833021087e-07,4.917730833021087e-07,True,0.8942457908815608,0.44757511318764026,2.016126177161642e+16,8.753111686375864e+16,CONVERGED
S5,S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),0.10303030303030303,56042.924659263655,0,4.413417029468184e-05,1.4048342723316212e-05,-0.7242092332816826,0.7242092332816826,False,2.0630990227015236,9.105316366181926e-05,3.536241172189404e+16,6.833434947020492e+16,CONVERGED
S5,S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),0.10303030303030303,56042.924659263655,1,4.829107963940162e-09,1.53715280637103e-09,-3.158852659985943,3.158852659985943,False,23.543567949309818,1.1369443148357839e-07,3.536241172189404e+16,6.833434947020492e+16,CONVERGED
S5,S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),0.10303030303030303,56042.924659263655,2,6.734930435768098e-08,2.143794940465091e-08,3.158852674907752,3.158852674907752,False,0.04247444513215781,2.8606243326293223e-09,3.536241172189404e+16,6.833434947020492e+16,CONVERGED
S5,S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),0.10303030303030303,56042.924659263655,3,0.5585600452054692,0.17779518441616587,3.3377558893389406e-07,3.3377558893389406e-07,True,0.8480188334347454,-0.5299654616944566,3.536241172189404e+16,6.833434947020492e+16,CONVERGED
S5,S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),0.10303030303030303,56042.924659263655,4,0.5585624172692867,0.17779593946752964,1.2497161223906622e-07,1.2497161223906622e-07,True,0.8480177533899241,0.5299675839070844,3.536241172189404e+16,6.833434947020492e+16,CONVERGED
S5,S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),0.12070707070707071,65658.13232139223,0,1.0411376338805843e-05,3.3140440174218993e-06,-0.6288007900957832,0.6288007900957832,False,1.8753602795202753,-1.9525081641639193e-05,5.675741866343831e+16,6.672892049997039e+16,CONVERGED
S5,S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),0.12070707070707071,65658.13232139223,1,5.527230000594705e-09,1.7593719524009338e-09,-3.169983760788972,3.169983760788972,False,23.8070977448053,-1.315873048821784e-07,5.675741866343831e+16,6.672892049997039e+16,CONVERGED
