chi,eta,runtime_s,worst_cond_P,pass_alpha_mean,stop_alpha_peak,n_gaps
0.3,0.32,0.209,9.38943,2.0104821098951976e-05,6.221798310229521,1
0.4,0.32,0.213,9.38943,1.0332061295483878e-05,5.413439291904158,1
0.5,0.32,0.224,9.38943,0.00037598231318927494,6.308702070654602,1
0.6,0.32,0.226,9.38943,4.983637292836416e-05,7.237279510232953,1
0.7,0.32,0.226,9.38943,1.1667299655548547e-05,7.636929279283552,1
0.8,0.32,0.223,9.38943,1.2380985028320778e-05,4.080895317476913,1
0.9,0.32,0.224,9.38943,1.4673645569029406e-05,4.117986291435697,1
1.0,0.32,0.226,9.38943,1.5439980138063446e-05,4.8611367560342265,2
0.0,0.38,0.229,9.38943,0.0019502546479614037,3.5818793632919617,0
0.1,0.38,0.235,9.38943,0.0006989916578790936,3.4951034193273083,0
0.2,0.38,0.234,9.38943,9.700445121893734e-06,4.037963713414276,0
0.3,0.38,0.235,9.38943,1.1352192027388796e-05,4.586374861810569,1
0.4,0.38,0.19,9.38943,0.00018106667195344348,5.89480980746934,1
0.5,0.38,0.173,9.38943,0.0001011065158676564,5.983349374411737,1
0.6,0.38,0.165,9.38943,0.00017644925818717207,6.408079109290063,1
0.7,0.38,0.165,9.38943,1.078324470123924e-05,6.524992920204988,1
0.8,0.38,0.175,9.38943,1.3538599056417197e-05,5.2397202297561005,1
0.9,0.38,0.169,9.38943,3.323525334598661e-05,4.141841511161782,2
1.0,0.38,0.164,9.38943,1.3470909857077787e-05,4.918080565517392,2
0.0,0.44,0.16,9.38943,0.003483675931633548,5.339513578499745,0
0.1,0.44,0.174,9.38943,0.0007073726331688828,4.260726467054442,0
0.2,0.44,0.21,9.38943,9.819967617527102e-06,4.064466516659643,1
0.3,0.44,0.194,9.38943,1.1045835306465432e-05,4.0265331107373825,1
0.4,0.44,0.205,9.38943,0.00022144519106313885,4.507315030455366,1
0.5,0.44,0.21,9.38943,0.0002422910719839701,5.622194746736781,1
0.6,0.44,0.22,9.38943,6.665940684650664e-05,6.624247061471743,1
0.7,0.44,0.225,9.38943,1.595269991580725e-05,7.168374999856359,1
0.8,0.44,0.23,9.38943,1.3157553324154648e-05,10.915800396527759,1
0.9,0.44,0.245,9.38943,1.5933097581267216e-05,4.143500145950149,2
1.0,0.44,0.217,9.38943,1.4286576070656155e-05,4.934312566877107,2
0.0,0.5,0.226,9.38943,0.0036610469158088704,4.810148599363524,0
0.1,0.5,0.219,9.38943,0.0006928795203572718,3.521376706731596,0
0.2,0.5,0.229,9.38943,3.0931241867509696e-05,3.334204111577454,1
0.3,0.5,0.223,9.38943,0.00018032855141224177,3.947140740919531,1
0.4,0.5,0.228,9.38943,0.00018847609886775158,5.46776684275746,1
0.5,0.5,0.229,9.38943,0.0005710508317278413,5.482356525735238,1
0.6,0.5,0.223,9.38943,1.3224199690321906e-05,6.20308806605004,1
0.7,0.5,0.217,9.38943,1.2392818674707742e-05,5.810383846393161,1
0.8,0.5,0.224,9.38943,1.5613523962217893e-05,7.079768015846078,1
0.9,0.5,0.221,9.38943,0.00020818513993020796,4.599267491892776,1
1.0,0.5,0.225,9.38943,0.0002187693117112283,4.914548407818542,2
0.0,0.56,0.209,9.38943,0.002803027800037352,3.3090542652102295,0
0.1,0.56,0.213,9.38943,0.0008780868317256022,3.2043331961306167,0
0.2,0.56,0.218,9.38943,0.00021797463941761078,4.729255876988886,1
0.3,0.56,0.221,9.38943,0.0002070802436574648,4.558777754397771,1
0.4,0.56,0.227,9.38943,0.00024588323577994436,4.712148529162704,1
0.5,0.56,0.207,9.38943,0.0002680593087120801,5.182657825787778,1
0.6,0.56,0.208,9.38943,0.00014601165995780488,4.95513900906926,1
0.7,0.56,0.208,9.38943,0.00017633112127115566,5.551579612222234,1
0.8,0.56,0.208,9.38943,1.326087239936143e-05,8.511516429258856,1
0.9,0.56,0.207,9.38943,1.4813673856356945e-05,5.84452603095992,1
1.0,0.56,0.211,9.38943,2.3193653279032727e-05,4.861139289455958,2
0.0,0.62,0.202,9.38943,0.003355236932979157,4.1682855445764755,0
0.1,0.62,0.207,9.38943,0.000629035267296964,4.39261902943307,0
0.2,0.62,0.206,9.38943,1.0766618683867709e-05,3.180024888330459,1
0.3,0.62,0.212,9.38943,1.3897576993985218e-05,3.2181989393205233,1
0.4,0.62,0.224,9.38943,0.00038652050052797877,3.686774739721392,1
0.5,0.62,0.211,9.38943,0.00018054209633529053,4.783596200239653,1
