B,tau_q,delta_sse_over_sigma2
1.28,0.2123837353152413,17.42402184521802
1.28,0.23829847041728452,19.540740568970563
1.28,0.2673752814401236,21.604212649758615
1.28,0.30000000000000016,23.58328277351716
1.28,0.3366055362905891,25.45227809362723
1.28,0.37767762353825046,27.191994806786973
1.28,0.4237612633868264,28.790118544910893
1.28,0.47546795773833395,30.240966356149507
1.28,0.5334838230116771,31.544682183889915
1.28,0.5985786944906639,32.70610143052264
5.0,0.0015035617008818166,227.55170471702078
5.0,0.001687023975571047,225.34791037489325
5.0,0.0018928720334405798,222.87076109423526
5.0,0.002123837353152414,220.08610311125088
5.0,0.002382984704172844,216.95601994117158
5.0,0.0026737528144012363,213.43807081710048
5.0,0.003,209.4854146813433
5.0,0.003366055362905891,205.0463371433915
5.0,0.0037767762353825016,200.064539154033
5.0,0.004237612633868262,194.4795272779664
5.0,0.00475467957738334,188.22744714171006
5.0,0.005334838230116768,181.242985859031
5.0,0.005985786944906639,173.462043285029
5.0,0.006716163415705018,164.82616043242896
5.0,0.00753565929452874,155.28847960351754
5.0,0.00845514879379336,144.8213986203037
5.0,0.009486832980505138,133.4253873525436
5.0,0.010644401677007264,121.13855400074785
5.0,0.011943215116604915,108.04620150048405
5.0,0.013400507764528894,94.2901193567563
5.0,0.015035617008818166,80.0773935648151
5.0,0.016870239755710472,65.6883012559556
5.0,0.018928720334405798,51.48242581251231
5.0,0.02123837353152414,37.90236355580914
5.0,0.023829847041728452,25.47218181137479
5.0,0.02673752814401236,14.79043972543161
5.0,0.03,6.51620480287749
5.0,0.033660553629058905,1.3484812570113773
5.0,0.03776776235382502,0.0
5.0,0.042376126338682645,3.1671805949662466
5.0,0.0475467957738334,11.498059725866872
5.0,0.05334838230116768,25.560489252260624
5.0,0.05985786944906639,45.81247108099345
5.0,0.06716163415705019,72.57630848922837
5.0,0.07535659294528743,106.01799424755586
5.0,0.08455148793793361,146.13270165247883
5.0,0.09486832980505139,192.73704370704334
5.0,0.10644401677007265,245.46846420315438
5.0,0.11943215116604919,303.79196051313045
5.0,0.134005077645289,367.0143675078236
5.0,0.15035617008818167,434.30611188380504
5.0,0.1687023975571048,504.7302462379659
5.0,0.189287203344058,577.2777813966109
5.0,0.2123837353152413,650.9080070136305
5.0,0.23829847041728452,724.5909781995589
5.0,0.2673752814401236,797.3494856270025
5.0,0.30000000000000016,868.2967627165135
5.0,0.3366055362905891,936.667199565226
5.0,0.37767762353825046,1001.8369967613771
5.0,0.4237612633868264,1063.3339594526244
5.0,0.47546795773833395,1120.8374973442633
5.0,0.5334838230116771,1174.1683797943542
5.0,0.5985786944906639,1223.2722009970373
