solver,t_hat,abs_error
40,0.2626050420168067,1.483517055876912e-07
40,0.26722689075630246,1.3101291562833764e-07
40,0.2718487394957983,1.1496970908730999e-07
40,0.2764705882352941,1.0013824147769937e-07
40,0.28109243697478986,8.643514326600679e-08
40,0.2857142857142857,7.37829606310977e-08
40,0.2903361344537815,6.210974856746345e-08
40,0.29495798319327726,5.135291258995336e-08
40,0.29957983193277304,4.1454825573273537e-08
40,0.3042016806722688,3.235247225774698e-08
40,0.30882352941176466,2.399241361239559e-08
40,0.31344537815126045,1.6326477948359307e-08
40,0.3180672268907562,9.304258475784888e-09
40,0.32268907563025206,2.8914752824301893e-09
40,0.32731092436974785,2.9706630498846032e-09
40,0.33193277310924363,8.30575985866302e-09
40,0.3365546218487394,1.3148910183891882e-08
40,0.34117647058823525,1.7544943721082527e-08
40,0.34579831932773103,2.1508978599205884e-08
40,0.3504201680672268,2.5090057477084836e-08
40,0.35504201680672265,2.8301848865487054e-08
40,0.35966386554621843,3.117603331148713e-08
40,0.3642857142857142,3.3741295647372295e-08
40,0.36890756302521,3.600653997282235e-08
40,0.37352941176470583,3.7997063829676405e-08
40,0.3781512605042016,3.974822837638028e-08
40,0.3827731092436974,4.12551699479077e-08
40,0.38739495798319323,4.2558008229610335e-08
40,0.392016806722689,4.3656390725677864e-08
40,0.3966386554621848,4.4581979442460364e-08
40,0.4012605042016806,4.532476072338723e-08
40,0.4058823529411764,4.591566094103241e-08
40,0.4105042016806722,4.636761052989682e-08
40,0.415126050420168,4.6675419419384935e-08
40,0.41974789915966376,4.687955412852132e-08
40,0.4243697478991596,4.6964503842451235e-08
40,0.4289915966386554,4.695137279064978e-08
40,0.43361344537815116,4.683070475952702e-08
40,0.438235294117647,4.6642223306859433e-08
40,0.4428571428571428,4.636556039205955e-08
40,0.44747899159663856,4.603554149096381e-08
40,0.45210084033613435,4.563698385962125e-08
40,0.4567226890756302,4.518790330909708e-08
40,0.46134453781512597,4.467625636206476e-08
40,0.46596638655462175,4.413346244114349e-08
40,0.4705882352941176,4.3544954865138676e-08
40,0.47521008403361337,4.2922028821058246e-08
40,0.47983193277310915,4.2252959576606043e-08
40,0.48445378151260493,4.157241972990802e-08
40,0.48907563025210077,4.087968774702047e-08
40,0.49369747899159655,4.016348054236643e-08
40,0.49831932773109233,3.940276793834654e-08
40,0.5029411764705882,3.86503440373839e-08
40,0.507563025210084,3.7872966208608274e-08
40,0.5121848739495798,3.710539997581277e-08
40,0.5168067226890756,3.63306397198623e-08
40,0.5214285714285714,3.5542750743578734e-08
40,0.5260504201680671,3.475981413914111e-08
40,0.5306722689075629,3.398643566676709e-08
40,0.5352941176470588,3.3196539185210396e-08
40,0.5399159663865546,3.241667123721284e-08
40,0.5445378151260504,3.161807638030281e-08
40,0.5491596638655462,3.0835337728630476e-08
40,0.5537815126050419,3.005141402490166e-08
40,0.5584033613445377,2.9320147089007785e-08
40,0.5630252100840336,2.855881875529844e-08
40,0.5676470588235294,2.7814003989879675e-08
40,0.5722689075630252,2.7079393617347146e-08
40,0.576890756302521,2.633601847812441e-08
40,0.5815126050420167,2.5654391501040673e-08
40,0.5861344537815125,2.4972958479919337e-08
40,0.5907563025210083,2.4253852371925698e-08
40,0.5953781512605042,2.355802231168793e-08
40,0.6,2.289995659865509e-08
41,0.05,5.820480232038754e-07
41,0.0546218487394958,9.081887012431172e-07
41,0.059243697478991594,1.2727506864723966e-06
41,0.06386554621848739,1.635322801702866e-06
41,0.0684873949579832,1.9604120506884766e-06
41,0.07310924369747898,2.2251558896995157e-06
41,0.07773109243697479,2.4201165441949398e-06
41,0.08235294117647059,2.546092988235272e-06
41,0.08697478991596638,2.610064044312633e-06
41,0.09159663865546218,2.6218529340104054e-06
41,0.09621848739495797,2.5919038544052205e-06
41,0.10084033613445378,2.5300172300523068e-06
41,0.10546218487394957,2.4447539171422735e-06
41,0.11008403361344538,2.3432498944552245e-06
41,0.11470588235294117,2.231256649777192e-06
41,0.11932773109243697,2.113285270778254e-06
41,0.12394957983193276,1.9927641167215578e-06
41,0.12857142857142856,1.872638129786109e-06
41,0.13319327731092434,1.7555267086143418e-06
41,0.13781512605042015,1.6188567675833328e-06
41,0.14243697478991596,1.5152462694577603e-06
41,0.14705882352941174,2.3704152687941134e-06
41,0.15168067226890755,8.331162832951885e-07
41,0.15630252100840336,2.6230411786066666e-05
41,0.1584,2.80941516112121e-06
41,0.16,6.623948053785622e-05
41,0.16092436974789914,0.00012192480415518337
41,0.1616,0.00016347383233283986
41,0.16236,0.0002054412390613002
41,0.164,0.0002606940579525939
41,0.16554621848739492,0.00026019181624426055
41,0.16564,0.0002586514747794376
41,0.17016806722689073,4.758993926512567e-05
41,0.17478991596638654,0.0002979296566286714
41,0.17941176470588233,0.0005387844733091295
41,0.1840336134453781,0.0005178448845316606
41,0.18865546218487395,0.00023830456993090377
41,0.19327731092436973,0.00017250625922715746
41,0.1978991596638655,0.0004971943015761325
41,0.20252100840336135,0.00034499671881571645
41,0.20714285714285713,0.00013827912488295724
41,0.2117647058823529,3.893852138703402e-05
41,0.2163865546218487,7.948543953696264e-06
41,0.22100840336134453,1.7354176289351438e-06
41,0.2256302521008403,5.646857434992167e-07
41,0.2302521008403361,3.401622558084635e-07
41,0.23487394957983188,2.8436853816249463e-07
41,0.2394957983193277,2.558674335749752e-07
41,0.2441176470588235,2.315936118445502e-07
41,0.24873949579831928,2.08706471883536e-07
