figure,t_hat,T_published,T_phase5
fig3,0.9009357857373346,0.9994736855710743,0.9996641329497958
fig3,0.9022265246853823,0.9994736855710743,0.999668384435839
fig3,0.9035172636334301,0.9994736855710743,0.9996725821380154
fig3,0.9048080025814779,0.9994736855710743,0.9996767266451865
fig3,0.9060987415295256,0.9994736855710743,0.9996808187397201
fig3,0.9073894804775734,0.9994736855710743,0.9996848590679399
fig3,0.9086802194256212,0.9994736855710743,0.9996888481728565
fig3,0.9099709583736689,0.9994736855710743,0.9996927868088681
fig3,0.9112616973217167,0.9994736855710743,0.9996966756113788
fig3,0.9125524362697645,0.9994736855710743,0.9997005151804506
fig3,0.9138431752178122,0.9994764588635097,0.9997043061552517
fig3,0.91513391416586,0.9994521735911712,0.9997080491249388
fig3,0.9164246531139078,1.0030030191309915,0.9997117447133945
fig3,0.9177153920619555,1.0030026214197811,0.9997153935451929
fig3,0.9190061310100033,1.003001150514883,0.9997189961703707
fig3,0.9202968699580509,1.0030007510586338,0.9997225532232699
fig3,0.9215876089060987,1.0030062182553405,0.9997260652058602
fig3,0.9228783478541465,1.003024573068535,0.9997295327339238
fig3,0.9241690868021942,1.003010867628719,0.9997329564063927
fig3,0.925459825750242,1.0030080343811472,0.9997363367252972
fig3,0.9267505646982898,1.0030172498013092,0.9997396742175025
fig3,0.9280413036463375,1.0030117779053689,0.9997429695203047
fig3,0.9293320425943853,1.0033790752092098,0.9997462230779535
fig3,0.930622781542433,1.0033790752092098,0.9997494354439436
fig3,0.9319135204904808,1.0033790752092098,0.9997526072130152
fig3,0.9332042594385286,1.0033790752092098,0.9997557387397832
fig3,0.9344949983865763,1.0033790752092098,0.9997588306808141
fig3,0.9357857373346241,1.0033790752092098,0.999761883451314
fig3,0.9370764762826719,0.9994514382537096,0.9997648976247364
fig3,0.9383672152307196,0.9994619329388559,0.9997678736147665
fig3,0.9396579541787673,0.9994691921508863,0.9997708119229975
fig3,0.9409486931268151,0.9994748907958733,0.9997737130537033
fig3,0.9422394320748628,0.999474030243261,0.999776577472802
