tau_q_or_tag,t_hat,T_or_spread_B1,T_or_spread_B105
0.03,0.15213032581453634,0.4670536607462816,0.47214002001277267
0.03,0.15462406015037594,0.47922890013010255,0.4839252786692088
0.03,0.15711779448621555,0.49118106348833246,0.4954942577088245
0.03,0.15961152882205512,0.5029088079506264,0.5068465457909539
0.03,0.16210526315789472,0.514411443566069,0.5179822457090237
0.03,0.16459899749373433,0.525688862075383,0.5289019149239369
0.03,0.16709273182957393,0.5367414720502756,0.5396065119408898
0.03,0.16958646616541354,0.54757013991875,0.5500973479957554
0.03,0.1720802005012531,0.5581761364171969,0.5603760435665961
0.03,0.17457393483709271,0.5685610880361764,0.5704444892545146
0.03,0.17706766917293232,0.5787269330475622,0.5803048106245794
0.03,0.17956140350877192,0.5886758817277653,0.5899593366260747
0.03,0.18205513784461153,0.5984103804195477,0.5994105712447302
0.03,0.18454887218045113,0.6079330790991913,0.6086611680795236
0.03,0.1870426065162907,0.6172468021397421,0.617713907553161
0.03,0.1895363408521303,0.6263545219857122,0.6265716764975293
0.03,0.1920300751879699,0.6352593354789046,0.6352374498865381
0.03,0.19452380952380952,0.6439644425912086,0.6437142744961428
0.03,0.19701754385964912,0.6524731273477679,0.6520052543053112
0.03,0.19951127819548872,0.6607887407338445,0.6601135374641309
0.03,0.2020050125313283,0.6689146854061079,0.6680423046729598
0.03,0.2044987468671679,0.6768544020347638,0.6757947588309547
0.03,0.2069924812030075,0.6846113571211193,0.6833741158268131
0.03,0.2094862155388471,0.69218903216153,0.6907835963641724
0.03,0.2119799498746867,0.6995909140141685,0.6980264187040996
0.03,0.21447368421052632,0.7068204863640632,0.7051057922469499
0.03,0.2169674185463659,0.7138812221775817,0.7120249118653177
0.03,0.2194611528822055,0.7207765770486474,0.7187869529059678
0.03,0.2219548872180451,0.7275099833481378,0.7253950667978553
0.03,0.2244486215538847,0.7340848451081957,0.7318523772167572
0.03,0.2269423558897243,0.7405045335484183,0.7381619767214892
0.03,0.2294360902255639,0.746772383205452,0.7443269238497552
0.03,0.23192982456140349,0.7528916885862287,0.7503502405996748
0.03,0.2344235588972431,0.7588657012932223,0.7562349102637076
0.03,0.2369172932330827,0.7646976275954039,0.7619838756002628
0.03,0.2394110275689223,0.7703906263622093,0.7676000372635766
0.03,0.2419047619047619,0.7759478073610138,0.7730862525245858
0.03,0.2443984962406015,0.7813722298559482,0.7784453341938247
0.03,0.24689223057644108,0.7866669014786143,0.7836800497618657
0.03,0.24938596491228068,0.7918347773610331,0.788793120743073
0.03,0.25187969924812026,0.7968787594766921,0.7937872221507448
0.03,0.25437343358395986,0.8018016961769279,0.7986649821495676
0.03,0.25686716791979947,0.8066063819125376,0.8034289818211744
0.03,0.25936090225563907,0.8112955571058936,0.8080817550684682
0.03,0.2618546365914787,0.8158719081608424,0.8126257886037438
0.03,0.2643483709273183,0.8203380675958356,0.8170635220490147
0.03,0.2668421052631579,0.8246966142759522,0.8213973481020191
0.03,0.2693358395989975,0.8289500737567075,0.8256296127934948
0.03,0.2718295739348371,0.8331009186928708,0.8297626157958302
0.03,0.2743233082706767,0.8371515693342421,0.8337986107960431
0.03,0.2768170426065163,0.8411043940696847,0.8377398059207454
0.03,0.2793107769423559,0.8449617100418667,0.8415883642008077
0.03,0.28180451127819545,0.8487257837911661,0.8453464040705939
0.03,0.28429824561403505,0.8523988319568163,0.8490159999183476
0.03,0.28679197994987465,0.8559830219923842,0.8525991826347649
0.03,0.28928571428571426,0.8594804729305903,0.8560979402273241
0.03,0.29177944862155386,0.8628932561560276,0.8595142184139051
0.03,0.29427318295739346,0.8662233961973012,0.8628499212584181
0.03,0.29676691729323307,0.8694728715456232,0.8661069118256741
0.03,0.29926065162907267,0.8726436154620476,0.8692870128101537
0.03,0.3017543859649123,0.8757375168268633,0.8723920072325324
0.03,0.3042481203007519,0.8787564209543979,0.8754236390870265
0.03,0.3067418546365915,0.881702130446776,0.878383614036519
0.03,0.3092355889724311,0.8845764060181052,0.8812736000720327
0.03,0.31172932330827063,0.8873809673404782,0.8840952282173431
0.03,0.31422305764411024,0.8901174938693709,0.8868500931874208
0.03,0.31671679197994984,0.8927876256807942,0.8895397540860935
0.03,0.31921052631578944,0.8953929642819451,0.8921657350754899
0.03,0.32170426065162905,0.8979350734322087,0.8947295260446355
0.03,0.32419799498746865,0.900415479959902,0.8972325833018562
0.03,0.32669172932330826,0.9028356745269845,0.8996763302031825
0.03,0.32918546365914786,0.905197112461492,0.9020621578498151
0.03,0.33167919799498746,0.9075012144948815,0.9043914257106348
0.03,0.33417293233082707,0.9097493675489975,0.9066654622821704
0.03,0.33666666666666667,0.9119429254897222,0.9088855657376389
0.03,0.3391604010025062,0.9140832098576757,0.9110530045247875
0.03,0.3416541353383458,0.9161715106029931,0.9131690180124024
0.03,0.3441478696741854,0.9182090868120114,0.9152348171003344
0.03,0.34664160401002503,0.9201971673978366,0.9172515848205506
0.03,0.34913533834586463,0.9221369518005388,0.9192204769257327
0.03,0.35162907268170424,0.9240296106632081,0.9211426224927204
0.03,0.35412280701754384,0.9258762865041732,0.9230191244802719
0.03,0.35661654135338344,0.9276780943548604,0.9248510603070832
0.03,0.35911027568922305,0.9294361224130601,0.9266394824048423
0.03,0.36160401002506265,0.9311514326759887,0.9283854187740809
0.03,0.36409774436090225,0.9328250615243177,0.9300898734972769
0.03,0.36659147869674186,0.9344580203628863,0.93175382731368
0.03,0.3690852130325814,0.936051296187288,0.9333782380883555
0.03,0.371578947368421,0.9376058521499997,0.9349640413410936
0.03,0.3740726817042606,0.9391226281504493,0.9365121507676999
0.03,0.3765664160401002,0.9406025413746483,0.9380234586967235
0.03,0.3790601503759398,0.9420464868269347,0.9394988365817514
0.03,0.3815538847117794,0.9434553378611861,0.9409391354659877
0.03,0.384047619047619,0.9448299467184229,0.9423451864856024
0.03,0.38654135338345863,0.9461711449851655,0.9437178012404905
0.03,0.38903508771929823,0.9474797441352115,0.9450577723142912
0.03,0.39152882205513784,0.9487565359796695,0.9463658736673312
0.03,0.39402255639097744,0.9500022931464855,0.9476428610742571
0.03,0.39651629072681704,0.9512177695509596,0.948889472544123
0.03,0.3990100250626566,0.9524037008233819,0.9501064287104327
0.03,0.4015037593984962,0.9535608047648824,0.9512944332445965
0.03,0.4039974937343358,0.9546897817838018,0.9524541732630375
0.03,0.4064912280701754,0.9557913152877316,0.9535863196647577
0.03,0.408984962406015,0.956866072097396,0.9546915275222405
0.03,0.4114786967418546,0.9579147028950967,0.9557704364996344
0.03,0.4139724310776942,0.9589378425238247,0.9568236711076062
0.03,0.4164661654135338,0.95993611045998,0.9578518411555683
0.03,0.4189598997493734,0.9609101111407514,0.9588555420320608
0.03,0.421453634085213,0.9618604343003125,0.9598353550486054
0.03,0.42394736842105263,0.9627876553930783,0.9607918477953272
0.03,0.4264411027568922,0.9636923358756033,0.9617255744160504
0.03,0.4289348370927318,0.9645750235944793,0.9626370759739691
0.03,0.4314285714285714,0.9654362530788712,0.9635268807151245
0.03,0.433922305764411,0.966276545881654,0.9643955043848773
0.03,0.4364160401002506,0.967096410878467,0.9652434505064234
0.03,0.4389097744360902,0.9678963446011165,0.9660712106983345
0.03,0.4414035087719298,0.9686768315099707,0.9668792649192255
0.03,0.4438972431077694,0.9694383443005745,0.9676680817540645
0.03,0.446390977443609,0.9701813441763303,0.9684381186909202
0.03,0.4488847117794486,0.9709062811543661,0.969189822378512
0.03,0.4513784461152882,0.9716135942972233,0.9699236288457068
0.03,0.4538721804511278,0.9723037120102204,0.9706399638078624
0.03,0.45636591478696736,0.9729770522906689,0.9713392428614169
0.03,0.45885964912280697,0.9736340229819553,0.9720218717841512
0.03,0.46135338345864657,0.9742750219971497,0.972688246657419
0.03,0.4638471177944862,0.9749004376129553,0.9733387542275046
0.03,0.4663408521303258,0.9755106486283459,0.9739737720141164
0.03,0.4688345864661654,0.9761060246923147,0.9745936686062241
0.03,0.471328320802005,0.9766869264040916,0.9751988038119093
0.03,0.4738220551378446,0.9772537056349163,0.9757895288959568
0.03,0.4763157894736842,0.9778067057327455,0.9763661868298505
0.03,0.4788095238095238,0.9783462616385727,0.976929112364302
0.03,0.4813032581453634,0.9788727001895439,0.9774786323435118
0.03,0.483796992481203,0.9793863402748755,0.9780150658381116
0.03,0.48629072681704255,0.9798874930407004,0.9785387243297037
0.03,0.48878446115288215,0.9803764620550542,0.9790499118983971
0.03,0.49127819548872176,0.980853543509306,0.9795489254034231
0.03,0.49377192982456136,0.9813190263841105,0.9800360546244626
0.03,0.49626566416040097,0.981773192673124,0.980511582494477
0.03,0.49875939849624057,0.9822163174770324,0.9809757851693724
0.03,0.5012531328320802,0.9826486692187889,0.981428932266901
0.03,0.5037468671679197,0.9830705098288162,0.9818712870101669
0.03,0.5062406015037594,0.9834820948325369,0.9823031063404492
0.03,0.5087343358395989,0.9838836735243727,0.9827246410494286
0.03,0.5112280701754386,0.9842754892227437,0.9831361360713682
0.03,0.5137218045112781,0.9846577792260586,0.9835378303842337
0.03,0.5162155388471178,0.9850307751397893,0.9839299573715924
0.03,0.5187092731829573,0.9853947029120415,0.9843127448389093
0.03,0.521203007518797,0.9857497830060338,0.9846864151649457
0.03,0.5236967418546365,0.986096230508168,0.9850511854414197
0.03,0.5261904761904762,0.9864342552995526,0.9854072676004717
0.03,0.5286842105263158,0.9867640621542171,0.985754868539188
0.03,0.5311779448621553,0.9870858508454736,0.9860941901949318
